ID,Name,ColorType,ColorIntensity,RGB,BaseMap,NormalMap,MaskMap,Material
1,Red_Weak,Red,1,255/76/76,BaseMap_Red,NormalMap_Red,MaskMap_Red,BearJelly_Red
2,Red_Normal,Red,2,255/51/51,BaseMap_Red,NormalMap_Red,MaskMap_Red,BearJelly_Red
3,Red_Strong,Red,3,255/26/26,BaseMap_Red,NormalMap_Red,MaskMap_Red,BearJelly_Red
4,Green_Weak,Green,1,178/255/178,None,NormalMap_Green,MaskMap_Green,BearJelly_Green
5,Green_Normal,Green,2,102/255/102,None,NormalMap_Green,MaskMap_Green,BearJelly_Green
6,Green_Strong,Green,3,26/255/26,None,NormalMap_Green,MaskMap_Green,BearJelly_Green
7,Blue_Weak,Blue,1,128/128/255,None,NormalMap_Blue,MaskMap_Blue,BearJelly_Blue
8,Blue_Normal,Blue,2,76/76/255,None,NormalMap_Blue,MaskMap_Blue,BearJelly_Blue
9,Blue_Strong,Blue,3,26/26/255,None,NormalMap_Blue,MaskMap_Blue,BearJelly_Blue
10,Cyan_Weak,Cyan,1,178/255/255,None,NormalMap_Cyan,MaskMap_Cyan,BearJelly_Cyan
11,Cyan_Normal,Cyan,2,102/255/255,None,NormalMap_Cyan,MaskMap_Cyan,BearJelly_Cyan
12,Cyan_Strong,Cyan,3,26/255/255,None,NormalMap_Cyan,MaskMap_Cyan,BearJelly_Cyan
13,Magenta_Weak,Magenta,1,255/178/255,None,NormalMap_Magenta,MaskMap_Magenta,BearJelly_Magenta
14,Magenta_Normal,Magenta,2,255/102/255,None,NormalMap_Magenta,MaskMap_Magenta,BearJelly_Magenta
15,Magenta_Strong,Magenta,3,255/26/255,None,NormalMap_Magenta,MaskMap_Magenta,BearJelly_Magenta
16,Yellow_Weak,Yellow,1,255/255/178,None,NormalMap_Yellow,MaskMap_Yellow,BearJelly_Yellow
17,Yellow_Normal,Yellow,2,255/255/128,None,NormalMap_Yellow,MaskMap_Yellow,BearJelly_Yellow
18,Yellow_Strong,Yellow,3,255/255/0,None,NormalMap_Yellow,MaskMap_Yellow,BearJelly_Yellow
19,White_Weak,White,1,255/255/255,None,NormalMap_White,MaskMap_White,BearJelly_White
20,White_Normal,White,2,255/255/255,None,NormalMap_White,MaskMap_White,BearJelly_White
21,White_Strong,White,3,255/255/255,None,NormalMap_White,MaskMap_White,BearJelly_White
22,Black_Weak,Black,1,0/0/0,None,NormalMap_Black,MaskMap_Black,BearJelly_Black
23,Black_Normal,Black,2,0/0/0,None,NormalMap_Black,MaskMap_Black,BearJelly_Black
24,Black_Strong,Black,3,0/0/0,None,NormalMap_Black,MaskMap_Black,BearJelly_Black
